ID,Species,BM(g),Sex,Treatment,RMR18C(ml/g/hr),RMR-23C(ml/g/hr),RMR-28C(ml/g/hr),RMR-33C(ml/g/hr),RMR-38C(ml/g/hr),k38/18,Q10,RER-18C,RER-23C,RER-28C,RER-33C,RER-38C
4,T.wolteri,2.934,M,cold,0.264787025560029,0.339311310819326,0.503204614521834,0.683724677022088,0.929224603218756,3.5093 ,1.87 ,0.77382650613613,0.83523189413213,1.06813648256491,0.986955306580547,1.13685426952642
"4,13",T.wolteri,2.525,F,cold,0.186852186369822,0.250682081936556,0.39448373338731,0.564133235650037,0.843348979819412,4.5135 ,2.12 ,0.832953123510881,0.994123652,0.917264824698432,1.36185046898888,1.36954126985423
5,T.wolteri,2.604,M,cold,0.185523251962211,0.211307070792417,0.517310610685288,0.614518510848144,1.08271639486467,5.8360 ,2.42 ,0.687126165987059,0.781882335439371,0.94036176120808,0.816827107997357,1.13266459715056
6,T.wolteri,2.285,M,cold,0.240931379829792,0.146447131216248,0.339703412396172,0.638439536415213,0.60847764913121,2.5255 ,1.59 ,0.828347570167788,0.852961023108374,0.732059270334313,0.689468340417247,1.0819021867966
8,T.wolteri,2.077,M,cold,0.199318422442095,0.214201105433895,0.211289901265394,0.359494758694198,0.758115161496849,3.8035 ,1.95 ,0.786118730682284,0.737870947377796,0.793728213959034,0.793297420453594,0.840556412120091
11,T.wolteri,2.486,M,cold,0.272891294680895,0.284849132911335,0.617454097386719,0.69690770684058,0.576383367907004,2.1121 ,1.45 ,0.580339133001465,0.708227681120347,0.788216964649318,0.851586376195628,0.842581601960546
"2,4",T.wolteri,3.795,F,warm,0.133009085148841,0.24406538354619,0.449010813674328,0.743253636011472,0.91378431032979,6.8701 ,2.62 ,0.639032047485259,0.737574812618197,0.692263312437908,0.798251659523544,1.0904118973759
"2,6",T.wolteri,3.535,F,warm,0.126782441785557,0.223958084288288,0.454373192391462,0.642196531244993,1.07118814489486,8.4490 ,2.91 ,0.533405571298672,0.763940930453384,0.580845125900775,0.990174010652266,0.973280620822117
"2,11",T.wolteri,3.007,F,warm,0.134157877051375,0.25927473,0.487460094,0.94483886550567,1.043182458,7.7758 ,2.79 ,0.815499201706392,0.549940029946102,0.79012481797958,0.807289468029979,0.972499855631885
"2,13",T.wolteri,2.422,F,warm,0.173440764599837,0.23521647936,0.5402630024634,0.606432083231484,1.1624637943578,6.7024 ,2.59 ,0.752833762206914,0.659753333580281,0.698313402305605,0.63177530374811,0.800453742697101
"2,16",T.wolteri,2.438,F,warm,0.14920218,0.26824780722,0.51224634,0.844172082112246,1.1023543941258,7.3883 ,2.72 ,0.553247997146334,0.552731778059386,0.723279047116088,0.883921355209754,0.360687954810282
"2,18",T.wolteri,2.981,F,warm,0.103252601738261,0.287907309542571,0.53048072436121,0.669227485154705,1.12162458,10.8629 ,3.30 ,0.592939401376928,0.441323162078543,0.493231316914635,0.84857789421558,1.17897148663212
3,T.wolteri,2.329,M,warm,0.189973796311674,0.245583937971749,0.687262775920236,0.794602912690096,1.11077969076145,5.8470 ,2.42 ,0.720617449377184,0.71989480231199,0.731093716982035,0.877517664556671,0.90589396316473
"3,8",T.wolteri,2.123,F,warm,0.134557268220109,0.264076104131403,0.502410846441251,0.88296764974018,1.22159753076839,9.0786 ,3.01 ,0.60805006213869,0.641595845933686,0.810809946242851,0.574512827372278,0.867145753639883
7,T.wolteri,1.574,M,warm,0.202735797312198,0.29058928134235,0.567324056496347,1.00551770684396,1.37694759448665,6.7918 ,2.61 ,0.767334210817069,0.724506152250327,0.737649412712891,0.856908925629684,1.05621820452101
9,T.wolteri,1.42,M,warm,0.148099284814745,0.23755149521919,0.436861883110153,0.804187186880641,1.03545026903304,6.9916 ,2.64 ,0.621245690615701,0.655835029834509,0.804790099783453,0.948337770953153,0.690829687749191
10,T.wolteri,1.401,M,warm,0.151646507930125,0.2773962474,0.533901890624634,0.0828883581287751,1.16391897498,7.6752 ,2.77 ,0.614773684204909,0.766841297260897,0.962681129207818,0.74198056472306,0.661254638329407
19,T.wolteri,1.772,M,warm,0.143568558395148,0.2342247942474,0.591824634,1.09284684850924,1.12162458,7.8125 ,2.80 ,0.685998174280248,0.856893431121697,0.804873640310926,0.70148530010241,0.753758237205358
